Genre,Publisher,TotalSales
Simulation,Focus Home Interactive,0.3
Simulation,Focus Home Interactive,0.3
Simulation,Focus Home Interactive,0.3
Shooter,2K Games,0.78
Shooter,2K Games,0.38
RolePlaying,Square Enix,0.75
RolePlaying,Square Enix,0.75
RolePlaying,Square Enix,0.75
RolePlaying,Square Enix,0.07
RolePlaying,Square Enix,0.07
RolePlaying,Square Enix,0.07
RolePlaying,Square Enix,0.38
RolePlaying,Square Enix,0.38
RolePlaying,Square Enix,0.38
Shooter,Sony Computer Entertainment,0.74
Shooter,Activision,0.73
Shooter,Activision,0.73
Shooter,Activision,0.34
Shooter,Activision,0.34
Action,Warner Bros. Interactive Entertainment,0.64
Action,Warner Bros. Interactive Entertainment,0.62
Action,Warner Bros. Interactive Entertainment,0.62
Action,Warner Bros. Interactive Entertainment,0.2
Action,Warner Bros. Interactive Entertainment,0.2
Fighting,Namco Bandai Games,0.61
Fighting,Namco Bandai Games,0.61
Fighting,Namco Bandai Games,0.61
Fighting,Namco Bandai Games,0.61
Fighting,Namco Bandai Games,0.16
Fighting,Namco Bandai Games,0.16
Fighting,Namco Bandai Games,0.16
Fighting,Namco Bandai Games,0.16
Fighting,Namco Bandai Games,0.12
Fighting,Namco Bandai Games,0.12
Fighting,Namco Bandai Games,0.12
Fighting,Namco Bandai Games,0.12
Shooter,Electronic Arts,0.6
Shooter,Electronic Arts,0.6
Shooter,Electronic Arts,0.6
Shooter,Electronic Arts,0.05
Shooter,Electronic Arts,0.05
Shooter,Electronic Arts,0.05
Shooter,Electronic Arts,0.82
Shooter,Electronic Arts,0.82
Shooter,Electronic Arts,0.82
RolePlaying,Square Enix,0.56
RolePlaying,Square Enix,0.56
RolePlaying,Square Enix,0.35
RolePlaying,Square Enix,0.35
Sports,EA Sports,0.52
Sports,EA Sports,0.52
Sports,EA Sports,0.6
Sports,EA Sports,0.6
Shooter,Deep Silver,0.51
Shooter,Deep Silver,0.51
Shooter,Deep Silver,0.51
Shooter,Deep Silver,0.51
Shooter,Deep Silver,0.51
Shooter,Deep Silver,0.07
Shooter,Deep Silver,0.07
Shooter,Deep Silver,0.07
Shooter,Deep Silver,0.07
Shooter,Deep Silver,0.07
Shooter,Deep Silver,0.21
Shooter,Deep Silver,0.21
Shooter,Deep Silver,0.21
Shooter,Deep Silver,0.21
Shooter,Deep Silver,0.21
Shooter,Deep Silver,0
Shooter,Deep Silver,0
Shooter,Deep Silver,0
Shooter,Deep Silver,0
Shooter,Deep Silver,0
Shooter,Deep Silver,0
Shooter,Deep Silver,0
Shooter,Deep Silver,0
Shooter,Deep Silver,0
Shooter,Deep Silver,0
Racing,Codemasters,0.51
Racing,Codemasters,0.51
Racing,Codemasters,0.51
Racing,Codemasters,0.04
Racing,Codemasters,0.04
Racing,Codemasters,0.04
Racing,Codemasters,0.21
Racing,Codemasters,0.21
Racing,Codemasters,0.21
Shooter,2K Games,0.48
Shooter,2K Games,0.48
Shooter,2K Games,0.48
Shooter,2K Games,0.19
Shooter,2K Games,0.19
Shooter,2K Games,0.19
Shooter,2K Games,0.28
Shooter,2K Games,0.28
Shooter,2K Games,0.28
Action,Warner Bros. Interactive Entertainment,0.39
Action,Warner Bros. Interactive Entertainment,0.39
Action,Warner Bros. Interactive Entertainment,0.39
Action,Warner Bros. Interactive Entertainment,0
Action,Warner Bros. Interactive Entertainment,0
Action,Warner Bros. Interactive Entertainment,0
RolePlaying,Namco Bandai Games,0.39
RolePlaying,Namco Bandai Games,0.39
RolePlaying,Namco Bandai Games,0.26
RolePlaying,Namco Bandai Games,0.26
Adventure,Square Enix,0.37
Adventure,Square Enix,0.37
Adventure,Square Enix,0.37
Adventure,Square Enix,0.37
Adventure,Square Enix,0.37
Adventure,Square Enix,0.05
Adventure,Square Enix,0.05
Adventure,Square Enix,0.05
Adventure,Square Enix,0.05
Adventure,Square Enix,0.05
Adventure,Square Enix,0.12
Adventure,Square Enix,0.12
Adventure,Square Enix,0.12
Adventure,Square Enix,0.12
Adventure,Square Enix,0.12
Action,Konami Digital Entertainment,0.27
Action,Konami Digital Entertainment,0.27
Action,Konami Digital Entertainment,0.09
Action,Konami Digital Entertainment,0.09
Fighting,Deep Silver,0.27
Action,Sony Computer Entertainment,0.27
Action,Crytek,0.25
Strategy,2K Games,0.25
Strategy,2K Games,0.25
Strategy,2K Games,0.25
Strategy,2K Games,0.25
Strategy,2K Games,0.25
Strategy,2K Games,0.3
Strategy,2K Games,0.3
Strategy,2K Games,0.3
Strategy,2K Games,0.3
Strategy,2K Games,0.3
Strategy,2K Games,0.12
Strategy,2K Games,0.12
Strategy,2K Games,0.12
Strategy,2K Games,0.12
Strategy,2K Games,0.12
Racing,Sony Computer Entertainment,0.24
Action,Sony Computer Entertainment,0.23
Action,Sony Computer Entertainment,0
RolePlaying,Namco Bandai Games,0.11
RolePlaying,Namco Bandai Games,0.11
Shooter,Tripwire Interactive,0.22
Shooter,Tripwire Interactive,0.22
Shooter,Tripwire Interactive,0.22
Action,Deep Silver,0.21
